message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,data,device_index,device_type,event,event_group,event_type,garmin_product,hardware_version,manufacturer,number,sensor_position,serial_number,software_version,source_type,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_19,unknown_2,unknown_20,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,,,,,4644,,garmin,,,3617778896,,,2026-04-07 21:11:01,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,,,,,4644,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
unknown_273,,,,,,,,,,,,,,,,,,,,,,,,2,60,,,,,,,,,,1144563061,,,,1144530661,,1,,,,6.27.0.4-Q126,,,,,
event,2026-04-05 20:33:27,,,,,,,1144388007,,,74,,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event,2026-04-06 03:11:27,,,,,,,1144411887,,,74,,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_346,,,,,,,,,,,,,,,,,,,,,,,,22,12,58,4,29,0,30,2343,0,,,32,,,,,,100,,,,64,76,52,55,63,44
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144355967,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1144359327,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144359387,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144359807,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1144359987,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144362867,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144365027,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144365687,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144365747,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144366587,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144367127,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144367727,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1144368327,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144368387,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144368987,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1144369587,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144370487,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144371087,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1144371687,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144372347,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144374207,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144374507,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144375407,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144375707,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144376127,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144376307,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144378047,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1144378107,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1144378767,,,,,,,,,,,
unknown_275,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1144379487,,,,,,,,,,,
unknown_382,,,,,,,,,,,,,,,,,,,,,,,,20007,42,,,,,,,,,,"(35, 26, 12, 8, 5, 16, 7, 1, 5, 5, 1, 39, 7, 4, 3, 8, 27, 1, 1, 21, 1, 16, 2, 3, 5, 5, 3, 42, 7, 1, 1, 1, 4, 7, 16, 2, 8, 17, 16, 4, 4, 0, 251, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)",,,,,,,,,,,,,,,
unknown_521,,,,,,,,,,,,,,,,,,,,,,,,1144563061,52,7288,1,,,,,,,,1358955,,,,1144530661,,1144355607,,,,540,1144379487,540,3,,
